Fitbit,1,1
Fitbit,2,2
Fitbit,3,3
Fitbit,4,4
Fitbit,5,5
Fitbit,6,6
Fitbit,7,7
Fitbit,8,8
Fitbit,9,9
Nike Wrist,10,10
Nike Wrist,11,11
Fitbit,12,12
Fitbit,13,13
Fitbit,14,14
Nike Wrist,15,15
Fitbit,16,16
Nike Wrist,17,17
Fitbit,18,18
Nike Wrist,19,19
Fitbit,20,20
Fitbit,21,21
Fitbit,22,22
Fitbit,23,23
Nike Wrist,24,24
Nike Wrist,25,25
Nike Wrist,26,26
Nike Wrist,27,27
Fitbit,28,28
Fitbit,29,29
Fitbit,30,30
Nike Wrist,31,31
Fitbit,32,32
Nike Wrist,33,33
Fitbit,34,34
Fitbit,35,35
Fitbit,36,36
Fitbit,37,37
Fitbit,38,38
Nike Wrist,39,39
Nike Wrist,40,40
Nike Wrist,41,41
Fitbit,42,42
Fitbit,43,43
Fitbit,44,44
Fitbit,45,45
Fitbit,46,46
Fitbit,47,47
Fitbit,48,48
Nike Wrist,49,49
Nike Wrist,50,50
